Processo,Exequente,Sindicato,Grupo,Status,Valor,Data
0002234-56.2024.5.01.0001,Camila Beatriz Nascimento,SINDICATO DOS METALÚRGICOS,Grupo A,Expedida,R$ 15.420,00,08/01/2024
0002235-56.2024.5.01.0001,Eduardo Silva Carvalho,SINDICATO DOS COMERCIÁRIOS,Grupo B,Depositada,R$ 18.750,00,15/01/2024
0002236-56.2024.5.01.0001,Letícia Aparecida Cunha,SINDICATO DOS BANCÁRIOS,Grupo C,Levantada,R$ 22.300,00,22/01/2024
0002237-56.2024.5.01.0001,Matheus Augusto Borges,SINDICATO DOS PROFESSORES,Grupo D,Expedida,R$ 16.890,00,29/01/2024
0002238-56.2024.5.01.0001,Isabela Cristina Duarte,SINDICATO DOS COMERCIÁRIOS,Grupo B,Depositada,R$ 19.450,00,05/02/2024
0002239-56.2024.5.01.0001,Lucas Gabriel Farias,SINDICATO DOS METALÚRGICOS,Grupo A,Levantada,R$ 17.200,00,12/02/2024
0002240-56.2024.5.01.0001,Larissa Vitória Macedo,SINDICATO DOS BANCÁRIOS,Grupo C,Expedida,R$ 21.500,00,19/02/2024
0002241-56.2024.5.01.0001,Vinícius José Castro,SINDICATO DOS PROFESSORES,Grupo D,Depositada,R$ 23.800,00,26/02/2024
0002242-56.2024.5.01.0001,Priscila Fernanda Xavier,SINDICATO DOS COMERCIÁRIOS,Grupo B,Levantada,R$ 15.670,00,04/03/2024
0002243-56.2024.5.01.0001,Marcelo Henrique Azevedo,SINDICATO DOS METALÚRGICOS,Grupo A,Expedida,R$ 18.920,00,11/03/2024
0002244-56.2024.5.01.0001,Adriana Paula Moura,SINDICATO DOS BANCÁRIOS,Grupo C,Depositada,R$ 20.450,00,18/03/2024
0002245-56.2024.5.01.0001,Daniel Luiz Santana,SINDICATO DOS PROFESSORES,Grupo D,Levantada,R$ 24.200,00,25/03/2024
0002246-56.2024.5.01.0001,Jéssica Maria Siqueira,SINDICATO DOS COMERCIÁRIOS,Grupo B,Expedida,R$ 17.340,00,01/04/2024
0002247-56.2024.5.01.0001,Alexandre Carlos Braga,SINDICATO DOS METALÚRGICOS,Grupo A,Depositada,R$ 19.180,00,08/04/2024
0002248-56.2024.5.01.0001,Sabrina Alves Batista,SINDICATO DOS BANCÁRIOS,Grupo C,Levantada,R$ 21.670,00,15/04/2024
0002249-56.2024.5.01.0001,Fábio Roberto Magalhães,SINDICATO DOS PROFESSORES,Grupo D,Expedida,R$ 22.890,00,22/04/2024
0002250-56.2024.5.01.0001,Natália Rodrigues Franco,SINDICATO DOS COMERCIÁRIOS,Grupo B,Depositada,R$ 16.540,00,29/04/2024
0002251-56.2024.5.01.0001,Igor Matheus Tavares,SINDICATO DOS METALÚRGICOS,Grupo A,Levantada,R$ 18.760,00,06/05/2024
0002252-56.2024.5.01.0001,Aline Cristiane Toledo,SINDICATO DOS BANCÁRIOS,Grupo C,Expedida,R$ 20.230,00,13/05/2024
0002253-56.2024.5.01.0001,Juliano César Pacheco,SINDICATO DOS PROFESSORES,Grupo D,Depositada,R$ 23.450,00,20/05/2024
0002254-56.2024.5.01.0001,Paula Beatriz Guimarães,SINDICATO DOS COMERCIÁRIOS,Grupo B,Levantada,R$ 17.890,00,27/05/2024
0002255-56.2024.5.01.0001,Renan Lucas Oliveira,SINDICATO DOS METALÚRGICOS,Grupo A,Expedida,R$ 19.320,00,03/06/2024
0002256-56.2024.5.01.0001,Simone Aparecida Ramos,SINDICATO DOS BANCÁRIOS,Grupo C,Depositada,R$ 21.120,00,10/06/2024
0002257-56.2024.5.01.0001,Wagner José Andrade,SINDICATO DOS PROFESSORES,Grupo D,Levantada,R$ 24.670,00,17/06/2024
0002258-56.2024.5.01.0001,Elaine Cristina Barros,SINDICATO DOS COMERCIÁRIOS,Grupo B,Expedida,R$ 16.780,00,24/06/2024
0002259-56.2024.5.01.0001,Henrique Augusto Pires,SINDICATO DOS METALÚRGICOS,Grupo A,Depositada,R$ 18.450,00,01/07/2024
0002260-56.2024.5.01.0001,Michele Patrícia Cardoso,SINDICATO DOS BANCÁRIOS,Grupo C,Levantada,R$ 20.890,00,08/07/2024
0002261-56.2024.5.01.0001,Sérgio Luis Nogueira,SINDICATO DOS PROFESSORES,Grupo D,Expedida,R$ 22.560,00,15/07/2024
0002262-56.2024.5.01.0001,Roberta Flávia Menezes,SINDICATO DOS COMERCIÁRIOS,Grupo B,Depositada,R$ 17.230,00,22/07/2024
0002263-56.2024.5.01.0001,Antônio Carlos Marques,SINDICATO DOS METALÚRGICOS,Grupo A,Levantada,R$ 19.780,00,29/07/2024
0002264-56.2024.5.01.0001,Cláudia Renata Pereira,SINDICATO DOS BANCÁRIOS,Grupo C,Expedida,R$ 21.340,00,05/08/2024
0002265-56.2024.5.01.0001,José Henrique Almeida,SINDICATO DOS PROFESSORES,Grupo D,Depositada,R$ 23.910,00,12/08/2024
0002266-56.2024.5.01.0001,Silvia Mara Gonçalves,SINDICATO DOS COMERCIÁRIOS,Grupo B,Levantada,R$ 18.120,00,19/08/2024
0002267-56.2024.5.01.0001,Ricardo Alexandre Cruz,SINDICATO DOS METALÚRGICOS,Grupo A,Expedida,R$ 20.560,00,26/08/2024
0002268-56.2024.5.01.0001,Vera Lúcia Rodrigues,SINDICATO DOS BANCÁRIOS,Grupo C,Depositada,R$ 22.780,00,02/09/2024
