Processo,Exequente,Sindicato,Grupo,Status,Valor,Data
0003001-56.2024.5.01.0001,Marina Silva Rocha,SINDICATO DOS METALÚRGICOS,Grupo A,Expedida,R$ 14.230,00,10/09/2024
0003002-56.2024.5.01.0001,Paulo Sérgio Araújo,SINDICATO DOS COMERCIÁRIOS,Grupo B,Expedida,R$ 16.890,00,15/09/2024
0003003-56.2024.5.01.0001,Sandra Regina Lopes,SINDICATO DOS BANCÁRIOS,Grupo C,Depositada,R$ 19.450,00,20/09/2024
0003004-56.2024.5.01.0001,Fernando Augusto Vieira,SINDICATO DOS PROFESSORES,Grupo D,Depositada,R$ 21.120,00,25/09/2024
0003005-56.2024.5.01.0001,Débora Cristiane Santos,SINDICATO DOS METALÚRGICOS,Grupo A,Expedida,R$ 15.670,00,01/10/2024
0003006-56.2024.5.01.0001,Maurício José Lima,SINDICATO DOS COMERCIÁRIOS,Grupo B,Depositada,R$ 17.340,00,08/10/2024
0003007-56.2024.5.01.0001,Rosana Aparecida Costa,SINDICATO DOS BANCÁRIOS,Grupo C,Expedida,R$ 20.780,00,15/10/2024
0003008-56.2024.5.01.0001,André Luiz Martins,SINDICATO DOS PROFESSORES,Grupo D,Depositada,R$ 22.450,00,22/10/2024
0003009-56.2024.5.01.0001,Carla Patrícia Souza,SINDICATO DOS METALÚRGICOS,Grupo A,Expedida,R$ 16.120,00,29/10/2024
0003010-56.2024.5.01.0001,Edson Carlos Ferreira,SINDICATO DOS COMERCIÁRIOS,Grupo B,Depositada,R$ 18.560,00,05/11/2024
